date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:46	24/24	---M--	200	added ('OK')	text/plain	date:Sun,%2001%20Nov%202020%2016:54:36%20GMT	http://rica-didit.datengdong.com/robots.txt		(from )
15:10:48	26778/26778	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Nov%202021%2008:10:46%20GMT	http://rica-didit.datengdong.com/	D:/IT/masjop/undangan/rica-didit.datengdong.com/index.html	(from )
15:10:48	1273/1273	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2016:54:36%20GMT	http://rica-didit.datengdong.com/images/favicon.png	D:/IT/masjop/undangan/rica-didit.datengdong.com/images/favicon.png	(from http://rica-didit.datengdong.com/)
15:10:51	33700/33700	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Jul%202021%2004:57:49%20GMT	http://rica-didit.datengdong.com/uploads/thumbs/gallery/33a8c58e6ac42baf24cf1adb514e949b4162c8a5Yi.jpg	D:/IT/masjop/undangan/rica-didit.datengdong.com/uploads/thumbs/gallery/33a8c58e6ac42baf24cf1adb514e949b4162c8a5Yi.jpg	(from http://rica-didit.datengdong.com/)
15:10:51	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%225eb04010-26f1b%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.4.1/css/bootstrap.min.css	D:/IT/masjop/undangan/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.4.1/css/bootstrap.min.css	(from http://rica-didit.datengdong.com/)
15:10:51	3504/3504	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd2-db0%22	https://cdnjs.cloudflare.com/ajax/libs/simplelightbox/1.17.3/simplelightbox.min.css	D:/IT/masjop/undangan/cdnjs.cloudflare.com/ajax/libs/simplelightbox/1.17.3/simplelightbox.min.css	(from http://rica-didit.datengdong.com/)
15:10:51	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	D:/IT/masjop/undangan/unpkg.com/aos@2.3.1/dist/aos.css	(from http://rica-didit.datengdong.com/)
15:10:51	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	D:/IT/masjop/undangan/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from http://rica-didit.datengdong.com/)
15:10:52	8053/8053	---M-Z	200	added ('OK')	text/css	date:Sun,%2027%20Jun%202021%2012:49:26%20GMT	http://rica-didit.datengdong.com/themes/sparklepink/style.css?v=1.0.6	D:/IT/masjop/undangan/rica-didit.datengdong.com/themes/sparklepink/stylec924.css	(from http://rica-didit.datengdong.com/)
15:10:52	1040/1040	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jul%202021%2006:19:40%20GMT	http://rica-didit.datengdong.com/themes/style.css?v=1.2.1	D:/IT/masjop/undangan/rica-didit.datengdong.com/themes/style23cd.css	(from http://rica-didit.datengdong.com/)
15:10:53	31795/31795	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Jan%202021%2016:38:14%20GMT	http://rica-didit.datengdong.com/themes/sparklepink/images/logo-header.png	D:/IT/masjop/undangan/rica-didit.datengdong.com/themes/sparklepink/images/logo-header.png	(from http://rica-didit.datengdong.com/)
15:10:55	4194/4194	---M--	200	added ('OK')	image/png	date:Sun,%2023%20May%202021%2015:26:00%20GMT	https://datengdong.com/image/protocol/masker.png	D:/IT/masjop/undangan/datengdong.com/image/protocol/masker.png	(from http://rica-didit.datengdong.com/)
15:10:55	3844/3844	---M--	200	added ('OK')	image/png	date:Sun,%2023%20May%202021%2015:26:00%20GMT	https://datengdong.com/image/protocol/distance.png	D:/IT/masjop/undangan/datengdong.com/image/protocol/distance.png	(from http://rica-didit.datengdong.com/)
15:11:02	4118/4118	---M--	200	added ('OK')	image/png	date:Sun,%2023%20May%202021%2015:26:00%20GMT	https://datengdong.com/image/protocol/salam.png	D:/IT/masjop/undangan/datengdong.com/image/protocol/salam.png	(from http://rica-didit.datengdong.com/)
15:11:02	63657/63657	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Jul%202021%2004:57:49%20GMT	http://rica-didit.datengdong.com/uploads/original/gallery/33a8c58e6ac42baf24cf1adb514e949b4162c8a5.jpg	D:/IT/masjop/undangan/rica-didit.datengdong.com/uploads/original/gallery/33a8c58e6ac42baf24cf1adb514e949b4162c8a5.jpg	(from http://rica-didit.datengdong.com/)
15:11:03	6088/6088	---M--	200	added ('OK')	image/png	date:Sun,%2023%20May%202021%2015:26:00%20GMT	https://datengdong.com/image/protocol/wash.png	D:/IT/masjop/undangan/datengdong.com/image/protocol/wash.png	(from http://rica-didit.datengdong.com/)
15:11:05	4371/4371	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Jan%202021%2016:38:14%20GMT	http://rica-didit.datengdong.com/themes/sparklepink/images/brush-r.png	D:/IT/masjop/undangan/rica-didit.datengdong.com/themes/sparklepink/images/brush-r.png	(from http://rica-didit.datengdong.com/)
15:11:05	4214/4214	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Jan%202021%2016:38:14%20GMT	http://rica-didit.datengdong.com/themes/sparklepink/images/brush.png	D:/IT/masjop/undangan/rica-didit.datengdong.com/themes/sparklepink/images/brush.png	(from http://rica-didit.datengdong.com/)
15:11:08	15838/15838	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Jul%202021%2004:57:33%20GMT	http://rica-didit.datengdong.com/uploads/thumbs/gallery/f8415f9ce344d8cf4b0c91507b3b332f8d584f071x.jpg	D:/IT/masjop/undangan/rica-didit.datengdong.com/uploads/thumbs/gallery/f8415f9ce344d8cf4b0c91507b3b332f8d584f071x.jpg	(from http://rica-didit.datengdong.com/)
15:11:10	29039/29039	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Jul%202021%2004:57:33%20GMT	http://rica-didit.datengdong.com/uploads/original/gallery/f8415f9ce344d8cf4b0c91507b3b332f8d584f07.jpg	D:/IT/masjop/undangan/rica-didit.datengdong.com/uploads/original/gallery/f8415f9ce344d8cf4b0c91507b3b332f8d584f07.jpg	(from http://rica-didit.datengdong.com/)
